Saite uz resursu,Klase,Tēma,Nodarbība,Aktivitāte,Resursa nosaukums,Resursa apraksts,Resursa veids,Resursa apskates ilgums,Resursa veidotājs,Skola2030 vērtības,Skola2030 tikumi,"""e-TAP"" vērtības","""e-TAP"" tikumi",Komentāri
https://drossinternets.lv/lv/materials/listall/berniem,4. klase,Attiecības tiešsaistē,3. nodarbība: Veselīga draudzība tiešsaistē,Ierosme. Saglabāt drošību tiešsaistē ,drossinternets.lv materiāli,"Materiālu saraksts interneta drošai izmantošanai: Pasakas par drošību internetā; Aizsargā savu kontu ar 2FA; Padomi drošākām mācībām tiešsaistē; Padomi drošai WhatsApp lietošanai; Padomi drošai Instagram lietošanai; Virtuālais restarts; DID2021 viktorīna 1.- 3. klasei; Vaifija interneta alfabēts; Dzejoļi par internetu: ""Aitu dzīve"" animācijas filmiņas un materiāli u.c.","Mājas lapa
;",10,drossinternets.lv,dzīvība (veselība); cieņa ,atbildība; gudrība; mērenība ,cieņa; atbildība; brīvība; harmonija ,pārliecinātība; kritiskā spriestspēja; pašvadība ,
https://e-biblioteka.liepu.lv/magazine/download/182 ,Pirmsskola (5 gadi),Palīdzība,1. nodarbība: Kurš var mums palīdzēt?,Papildmateriāli,"Integrētā nodarbība “Vienmēr steidzas palīgā""","Integrētā nodarbība 4-6 gadus veciem bērniem, kas veido izpratni par profesijām, kuras saistītas ar cilvēku glābšanu.",Integrētās nodarbības plāns;,0,"Oksana Žerebkova un Irina Kozela, Daugavpils 27. pirmsskolas izglītības iestādes skolotājas",dzīvība (veselība); darbs ,atbildība; gudrība ,cieņa; atbildība ,izpalīdzība; zinātkāre; pateicīgums ,
https://forbesbaltics.com/lv/top-50-veiksmigakas-biznesa-sievietes,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,"Forbes -  ""top 50 veiksmīgākas biznesa sievietes"" (2019)","Forbes veiksmīgāko biznesa sieviešu saraksts - reitingā iekļauts pussimts uzņēmēju un kompāniju vadītāju. Veidojot reitingu, tika ņemti vērā uzņēmumu rādītāji, kas publicēti Lursoft datubāzē. Tika vērtēts uzņēmumu apgrozījums, tā pieaugums, peļņa un eksporta apjoms.",Raksts;,5,Forbes,darbs ,atbildība; centība ,atbildība ,pārliecinātība; čaklums; neatlaidība (noturība); apņēmīgums ,
https://fotokvartals.lv/2021/05/26/viss-attela-del-ka-vara-iznicina-zurnalistiku-baltkrievija/,7. klase,Viltus ziņas,2. nodarbība: Kas padara ziņu patērētāju tikumīgu?,5. aktivitāte. Cilvēks-morālā autoritāte ,“Viss attēla dēļ”. Kā vara iznīcina žurnālistiku Baltkrievijā,Stāsts par žurnālistu darbību un valdības radītajiem šķēršļiem viņu darbam Baltkrievijā 2020. gada augustā,Blogs;,3,Foto kvartāls,brīvība; darbs ,taisnīgums; godīgums; drosme ,brīvība; atbildība; patiesība ,atklātība ,
https://ir.lv/2019/03/08/sievietes-un-viriesi-biznesa-ir-vienlidzigi/,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,Sievietes un vīrieši biznesā ir vienlīdzīgi ,"Biznesa augstskolas Turība absolvente Ilze Kikste-Vaivara, kura vada viesnīcu Boutique Hotel & Restaurant MaMa. Viņa uzsver, ka biznesā veiksmi izšķir nevis dzimums, bet gadu gaitā uzkrātā pieredze un mīlestība pret to, ko dari",Raksts;,5,IR,cieņa; darbs; Latvijas valsts ,atbildība; centība; drosme ,atbildība; harmonija ,pašiniciatīva; pārliecinātība; neatlaidība (noturība); apņēmīgums; pašiedziļināšanās ,
https://jaunatne.gov.lv/iespejas-jauniesiem/,4. klase,Demokrātija,1. nodarbība: Piedalīšanās demokrātijas veidošanā,Ierosme. Piedalīšanās ,"""Iespējas jauniešiem""","Jaunatnes starptautisko programmu aģentūras lapa: Iespējas jauniešiem Latvijā un Eiropā, ES programmu projekti, EuroPeers – programmu vēstneši, pieredzes stāsti un jaunumi, konkursi","Mājas lapa
;",5,Jaunatnes starptautisko programmu aģentūra,Latvijas valsts; kultūra ,solidaritāte; atbildība; drosme ,cilvēks kā persona; atbildība; saskaņa ,pašiniciatīva; līdzdalīgums; spēja sadarboties ,
https://learningapps.org/display?v=ptmuu97qj21,Pirmsskola (6 gadi),Draugi,3. nodarbība: Strīdi ar draugiem,Kopīgā noslēguma apspriede: 5 pirkstu tehnika.,Kas palīdz draudzībai?,"Interaktīva spēle, kurā jāsaprot kuras īpašības palīdz, kuras traucē draudzībai.","Tiešsaistes spēle - cits
;",0,"Praktiķis (vārds, uzvārds nav minēts)",cieņa ,tolerance; laipnība ,cilvēks kā persona; cieņa ,atklātība; draudzīgums ,
https://likumi.lv/ta/id/176425-alkohola-narkotisko-psihotropo-vai-toksisko-vielu-ietekmes-parbaudes-kartiba,7. klase,Narkotikas alkohols,1. nodarbība: Saprātīga izvēle,,"Alkohola, narkotisko, psihotropo vai toksisko vielu ietekmes pārbaudes kārtība","Noteikumi nosaka alkohola, narkotisko, psihotropo vai toksisko vielu ietekmes pārbaudes kārtību.",MK noteikumi;,5,Latvijas Vēstnesis,dzīvība (veselība); Latvijas valsts ,atbildība; godīgums ,cilvēks kā persona; atbildība; patiesība ,kritiskā spriestspēja ,
https://likumi.lv/ta/id/275061-brivpratiga-darba-likums,7. klase,Brīvprātīgais darbs,1. nodarbība: Kāpēc jāveic brīvprātīgais darbs?,3. aktivitāte. Tava kopiena ,Brīvprātīgā darba likums,"Brīvprātīgā darba likumā iespējams iepazīties ar tā mērķi, organizēšanas tiesībām un pienākumiem, darba veicēja skaidrojumu, pienākumiem un tiesībām , tiesisko attiecību nodibināšanu un izbeigšanu.",Likums;,5,Latvijas Vēstnesis,brīvība; darbs; Latvijas valsts ,atbildība; godīgums; centība ,cieņa; brīvība; atbildība ,pašiniciatīva; atvērtība jaunajam; apņēmīgums ,
https://literatura.lv/lv/person/Anna-Irbe/1473554,6. klase,Nauda,1. nodarbība: Vēlmes un vajadzības,3. aktivitāte. Cilvēks - morālā autoritāte,Anna Irbe,"Biogrāfijā ir iespējams iepazīties ar Annas Irbes personisko informāciju, profesionālo darbību, citātu galeriju, nodarbēm, dzimšanas datiem, izglītību.",Biogrāfija;,5,LU LFMI,kultūra; Latvijas valsts ,gudrība ,cilvēks kā persona; brīvība; rūpes ,līdzjūtība; pašiniciatīva; atvērtība jaunajam; apņēmīgums; pazemība ,
https://lv.wikipedia.org/wiki/Anna_Irbe ,6. klase,Nauda,1. nodarbība: Vēlmes un vajadzības,3. aktivitāte. Cilvēks un morālā autoritāte,Anna Irbe,Biogrāfijā iespējams iepazīties ar Annas Irbes dzīvesgājumu. ,Biogrāfija;,3,Vikipēdija,kultūra; Latvijas valsts ,gudrība ,cilvēks kā persona; brīvība; rūpes ,līdzjūtība; pašiniciatīva; atvērtība jaunajam; apņēmīgums; pazemība ,
https://lvportals.lv/norises/287732-demokratija-un-viltus-zinas-2017,7. klase,Viltus ziņas,2. nodarbība: Kas padara ziņu patērētāju tikumīgu?,3. aktivitāte. Domāšanas jautājumi ,Demokrātija un viltus ziņas,Rakstā ir iespējams iepazīties bijušo un esošo Eiropas Cilvēktiesību tiesas tiesnešu viedokli par viltus ziņām.,Raksts;,3,Latvijas Vēstnesis,brīvība; Latvijas valsts ,gudrība; atbildība ,atbildība; patiesība ,zinātkāre; kritiskā spriestspēja; attapība ,
https://maciunmacies.valoda.lv/speles/valodina/aiziet.html ,Pirmsskola (6 gadi),Drošība Internetā,1. nodarbība: Internets ir lielisks,1. aktivitāte. Interneta izmantošana.,Valodiņa. 10 piedzīvojumi valodas pasaulē.,Izglītojoša spēle latviešu valodas apguvei. ,"Tiešsaistes spēle - cits
;",0,Māci un mācies !,darbs ,gudrība; atbildība ,atbildība ,apņēmīgums; zinātkāre ,"Papildus interneta vietnes, kuras izmantot vērtīga satura apguvei - (https://pasakas.nn.lv/), (www.tavaklase.lv) . "
https://manadrosiba.lv/wp-content/uploads/2019/06/e-forma_14plus_alkoholsm.png,7. klase,Narkotikas alkohols,1. nodarbība: Saprātīga izvēle,2. aktivitāte. Narkotiku kaitīgā ietekme ,Alkohols,"Infografikā iespējams iepazīties ar individuālām problēmām, riskantas uzvedības, likumpārkāpumu, seksuālas dabas un attiecību problēmām, kuras var izraisīt alkohola lietošana.","Attēls / plakāts
;",2,Valsts policija,dzīvība (veselība) ,atbildība; gudrība; savaldība ,atbildība ,kritiskā spriestspēja ,
https://manadrosiba.lv/wp-content/uploads/2019/06/e-forma_14plus_narkotikasm.png,7. klase,Narkotikas alkohols,1. nodarbība: Saprātīga izvēle,2. aktivitāte. Narkotiku kaitīgā ietekme ,Narkotikas,"Infografikā ir pieejama informācija par to, kādu risku veselībai rada narkotikas. Kāda atbildība iestājas tās lietojot un kur vērsties pēc palīdzības.","Attēls / plakāts
;",2,Valsts policija,dzīvība (veselība) ,atbildība; gudrība; savaldība ,atbildība ,kritiskā spriestspēja ,
https://medicine.lv/raksti/fizisko-aktivitasu-nozime-bernu-un-jauniesu-ikdiena,3. klase,Fiziskās aktivitātes,1. nodarbība: Kāpēc ir jāsporto?,2. aktivitāte. Dažādi fizisko aktivitāšu veidi ,Fizisko aktivitāšu nozīme bērnu un jauniešu ikdienā,Raksts par fizisko aktivitāšu nozīmi (2015),Raksts;,3,medicine.lv,dzīvība (veselība) ,atbildība; gudrība ,rūpes; atbildība; patiesība; harmonija ,pašiniciatīva; čaklums; apņēmīgums; pašvadība ,
https://open-mind.lv/popularakas-labdaribas-organizacijas-latvija/,3. klase,Brīvprātīgais darbs,1. nodarbība: Kāpēc cilvēki veic brīvprātīgo darbu?,Ierosme. Labdarības organizāciju logotipi ,Populārākās labdarības organizācijas Latvijā,Informācija par  pazīstamākajām un populārākajām labdarības organizācijām Latvijā,Raksts;,5,open-mind.lv,cieņa; Latvijas valsts; kultūra ,taisnīgums; solidaritāte; atbildība ,cilvēks kā persona; mīlestība; saskaņa ,izpalīdzība; līdzjūtība; empātija; dāsnums; pašiniciatīva; apņēmīgums; līdzdalīgums; spēja sadarboties ,
https://pasakas.nn.lv/pasakas/literaras_pasakas/d/draudzibas_speks/,Pirmsskola (5 gadi),Jūtas ,3. nodarbība: Nepatīkamas jūtas,Kopīgā noslēguma apspriede.  Stāstu grāmata.,"Dzirdas Rinkules Zemzares pasaka ""Draudzības spēks""","Dzirdas Rinkules Zemzares pasaka ""Draudzības spēks"" lasāma un klausāma audio ierakstā.",Mājas lapa - audio pasaka;,3,pasakas.nn.lv,cieņa ,laipnība; drosme; gudrība ,rūpes; saskaņa; daba ,izpalīdzība; līdzjūtība; pateicīgums; spēja sadarboties ,
https://pusaudzim.lv/    ,8. klase,Veselīgas attiecības,1. nodarbība: Emocionālā veselība,4. aktivitāte. Labklājības forums , Pusaudžu e-resursu centrs,"Mājaslapa, kurā skolēniem ir iespējams saņemt palīdzību no speciālistiem attālināti.","Mājas lapa
;",2,Pusaudžu e-resursu centrs,dzīvība (veselība) ,drosme ,cilvēks kā persona; rūpes; patiesība; miers ,pašiniciatīva; atvērtība jaunajam; atklātība ,
https://quizizz.com/admin/quiz/5c55a0f61eb942001ecbb705/iepaz%C4%ABsti-profesiju-pasauli,2. klase,Karjera,1. nodarbība: Kāpēc cilvēki strādā?,Kopīgā noslēguma apspriede. Pēc 10 gadiem,Viktorīna “Iepazīsti profesiju pasauli!”,"15 jaurtājumi, lai skolēni varētu atpazīst profesijas. Katram jautājumam 4 attēli un 4 profesiju apraksti",Tiešsaistes spēle - Viktorīna;,10,quizizz.com,darbs ,gudrība; centība ,atbildība; harmonija ,pašiniciatīva; pārliecinātība; atvērtība jaunajam; pašiedziļināšanās ,
https://rebaltica.lv/recheck/,3. klase,Viltus ziņas,1. nodarbība: Kas ir viltus ziņas?,1. aktivitāte. Viltus ziņu atpazīšana ,"faktu pārbaudes mājas lapa ""Re:check""",  Re:Check ir Baltijas pētnieciskās žurnālistikas centra Re:Baltica paspārnē strādājoša faktu pārbaudes un sociālo tīklu pētniecības virtuāla laboratorija.,"Mājas lapa
;",10,Re:Baltica,brīvība; kultūra; Latvijas valsts ,atbildība; godīgums; gudrība ,cieņa; atbildība; patiesība ,pārliecinātība; kritiskā spriestspēja; zinātkāre ,
https://registri.visc.gov.lv/vispizglitiba/saturs/dokumenti/metmat/vertibizglitiba/default.html,Pirmsskola (6 gadi),Draugi,1. nodarbība: Laba drauga tikumi,1. aktivitāte. Labs draugs ir...,"ATŠĶIRĪBAS. Attieksme pret atšķirīgo, tolerance un līdzjūtība.",Interaktīvs mācību materiāls par draugu īpašībām un atšķirībām.,Interaktīvs mācību materiāls;,0,VISC,cieņa ,laipnība; godīgums ,mīlestība; saskaņa ,draudzīgums; empātija ,
https://registri.visc.gov.lv/vispizglitiba/saturs/dokumenti/metmat/vertibizglitiba/default.html,Pirmsskola (6 gadi),Draugi,1. nodarbība: Laba drauga tikumi,Kopīgā noslēguma apspriede: 5 pirkstu tehnika.,"Mācīties, draudzēties, spēlēties","Spēle  radošā un vienkāršā veidā māca bērniem svarīgākās saskarsmes un konfliktu risināšanas prasmes, pirmsskolas posmā un sākumskolā.","Spēles metodoloģija, informatīvas prezentācijas;",0,uzvediba.lv,cieņa ,tolerance; savaldība ,saskaņa; cilvēks kā persona ,empātija; draudzīgums; spēja sadarboties ,
https://registri.visc.gov.lv/vispizglitiba/saturs/dokumenti/metmat/vertibizglitiba/default.html ,1. klase,Draudzība,1. nodarbība: Kādas īpašības piemīt labam draugam?,2. aktivitāte. Draudzības recepte.,Interaktīvs mācību līdzeklis - vērtībizglītība.,"Interaktīvs materiāls, kas mudina skolēnus domāt par atšķirīgām īpašībām, kuras piemīt draugiem. ","Tiešsaistes spēle - cits
;",0,VISC,cieņa; ģimene ,godīgums; savaldība ,cilvēks kā persona; mīlestība; saskaņa ,draudzīgums; pateicīgums ,
https://satori.lv/article/zalgalvja-7-serija-dzive-digitalaja-troksni?fbclid=IwAR20dZeHjpAixCbQwJvxfbqxt_va_NiUt0bAI4HXiob4HmfjnhQeB-xt9eQ.,8. klase,Tehnoloģijas,2. nodarbība: Pozitīvas tiešsaistes reputācijas veidošana,1. aktivitāte. Reputācija tiešsaistē ,"""Zaļgalvja"" 7. sērija: dzīve digitālajā troksnī","Raidījuma ""Zaļgalvi""7. sērija, kurā Rvīns Varde tiekas ar interneta žurnāla ""Satori"" galveno redaktoru Henriku Eliasu Zēgneru, lai parunātu par līdzsvara saglabāšanu informācijas piesātinātajā digitālajā laikmetā.","Video - dokumentāla filma
;",14,Satori,dzīvība (veselība) ,atbildība; mērenība ,atbildība; daba; harmonija ,kritiskā spriestspēja; pārliecinātība; neatlaidība (noturība) ,
https://skaties.lv/zinas/latvija/sabiedriba/spej-vins-spej-vina-ar-kampanu-latvija-uzsak-cinu-pret-dzimumu-stereotipiem/,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,SIF projekts “Spēj viņa = spēj viņš” mājas lapa ar TV3 sižetu,202. gada marta kampaņas mājas lapa ciņā pret dzimumu stereotipiem profesijas izvēlē. Satur pētījuma informāciju un arī 3 minūšu gars TV3 sizētu par šo tēmu,"Mājas lapa
;",5,skaties.lv,brīvība; darbs ,taisnīgums; solidaritāte; godīgums ,vienlīdzība; cilvēks kā persona; cieņa; brīvība; saskaņa ,pārliecinātība; atvērtība jaunajam; pašiedziļināšanās; līdzdalīgums ,
https://spoki.lv/testi/Vai-spej-atskirt-viltus-zinas-no/877575,3. klase,Viltus ziņas,1. nodarbība: Kas ir viltus ziņas?,1. aktivitāte. Viltus ziņu atpazīšana ,Vai spēj atšķirt viltus ziņas no patiesām ziņām? Izpildi testu un pārbaudi sevi!,"10 jautājumi ar bildēm. Skolēniem jāatpazīst, kuri ziņu raksti ir viltus ziņas, kā viņi to saprata, kā arī kādas norādes tur atrodas.",Tiešsaistes spēle - Viktorīna;,5,spoki.lv,brīvība; kultūra ,godīgums; gudrība ,cieņa; patiesība ,pārliecinātība; zinātkāre; kritiskā spriestspēja ,
